bucket_hhmm,v7_total_picking_over,v8_total_picking_over,v8_1_total_picking_over,v8_2_total_picking_over
04:00,50.0,65.0,44.0,68.0
04:15,399.19,213.0,304.91999999999996,316.46
04:30,594.37,225.0,336.53,503.95000000000005
04:45,1085.26,720.42,761.09,677.79
05:00,1190.46,508.56000000000006,823.71,965.62
05:15,1368.4800000000002,787.9300000000001,828.51,724.1400000000001
05:30,1478.97,966.0000000000001,1140.56,1321.62
05:45,1716.2199999999998,1018.9599999999999,1512.34,1218.09
06:00,1990.4,1064.88,923.7,1637.08
06:15,973.79,602.74,467.28,525.6
06:30,0.0,0.0,0.0,0.0
06:45,0.0,0.0,0.0,0.0
07:00,0.0,0.0,0.0,0.0
07:15,0.0,0.0,0.0,0.0
07:30,0.0,254.12,81.0,0.0
07:45,0.0,323.47,394.53999999999996,187.84
08:00,0.0,1070.23,906.67,312.93
08:15,55.0,639.12,560.9100000000001,328.5
08:30,48.0,791.51,666.87,289.61
08:45,86.0,585.82,515.39,225.42
09:00,88.0,1319.5,498.78999999999996,247.07
09:15,198.99,1119.7199999999998,479.27,347.0
09:30,371.65,623.11,453.17,359.65
09:45,274.96000000000004,570.29,514.6700000000001,453.95
10:00,292.47,366.90999999999997,293.93,413.88
10:15,363.98,446.13,437.28000000000003,499.36
10:30,551.0,360.63,445.61,611.25
10:45,636.7299999999999,382.41999999999996,472.59000000000003,587.5
11:00,300.28,361.75,249.0,431.75
11:15,435.12,292.31,149.0,485.91999999999996
11:30,192.2,307.7,151.26999999999998,220.11
11:45,159.78,35.0,221.04,37.0
12:00,220.07,49.0,67.0,130.68
12:15,78.78,46.0,114.58,32.0
12:30,35.0,45.0,50.0,10.0
12:45,2.0,0.0,0.0,9.0
13:00,23.0,62.0,43.0,0.0
13:15,7.0,0.0,0.0,78.04
13:30,0.0,0.0,0.0,0.0
13:45,0.0,0.0,0.0,0.0
14:00,0.0,0.0,0.0,0.0
